0007435330	AR1	5
0007435330	AU	4
0007435330	EA	3
0007435330	Ele1	3
0007435330	ES	4
0007435330	LM	2
0007435330	Mat1	4
0007435330	Mat3R	2
0007435330	PiREE	3
0007435330	PParJ	3
0007435330	Pr_EE	2
0007435330	Pr_EiRi	2
0007435330	Pr_Ele	5
0007435330	Pr_RK	5
0007435330	Pr_RZ	4
0007435330	TI	2
0007435330	TP	2
0007435330	VU	3
0010712627	EiEP	5
0010712627	Ele1	2
0010712627	Ele2	5
0010712627	KM	3
0010712627	Mat3E	4
0010712627	MMPWM	5
0010712627	MT	4
0010712627	OiOR	3
0010712627	OR	3
0010712627	PiREE	2
0010712627	Pr_AUT	4
0010712627	Pr_PI	3
0010712627	Pr_RI	3
0010712627	PrEM	5
0010712627	RPPP	4
0010712627	URS	5
0010712627	VK	3
0018993013	BP	4
0018993013	ET	3
0018993013	IE	4
0018993013	IRG	2
0018993013	KM	3
0018993013	Mat1	4
0018993013	Mat2	3
0018993013	MiAPE	4
0018993013	MP	3
0018993013	MT	2
0018993013	OR	2
0018993013	OS	2
0018993013	PParJ	3
0018993013	Pr_EE	4
0018993013	Pr_RI	2
0018993013	Pr_RZ	3
0018993013	RPPP	3
0018993013	SemR	4
0018993013	SiS	2
0018993013	UI	3
0018993013	UK	2
0018993013	UuTRZ	4
0018993013	VU	3
0023015222	BP	4
0023015222	ElAk	2
0023015222	ILiJ	2
0023015222	Mat3E	5
0023015222	MiAPE	2
0023015222	MK	4
0023015222	MP	2
0023015222	OS	5
0023015222	Pr_RI	5
0023015222	Pr_RK	4
0023015222	SemR	5
0023015222	TP	4
0023015222	UK	2
0023015222	URS	4
0023015222	VK	2
0025854351	AR2	4
0025854351	DL	2
0025854351	EiEP	4
0025854351	EK	4
0025854351	ElAk	4
0025854351	Ele1	2
0025854351	ESA	2
0025854351	ET	4
0025854351	EuR	4
0025854351	IE	5
0025854351	JPM	2
0025854351	MiAPE	5
0025854351	PiPI	4
0025854351	Pr_Ele	2
0025854351	Pr_PI	3
0025854351	SemR	2
0025854351	UK	2
0025854351	URS	2
